created_at	source	entities	id	public_metrics	author_id	text
2022-02-01 02:32:02+00:00	Twitter Web App	{'annotations': [{'start': 119, 'end': 132, 'probability': 0.9863, 'type': 'Person', 'normalized_text': 'Scott Morrison'}], 'hashtags': [{'start': 145, 'end': 152, 'tag': 'Auspol'}, {'start': 153, 'end': 157, 'tag': 'NPC'}]}	1488339327952519169	{'retweet_count': 6, 'reply_count': 1, 'like_count': 39, 'quote_count': 2}	896166389332848640	"Speak quietly make people listen more intently to hear you

Is their any old marketing hack, pyramid selling technique Scott Morrison wont use.

#Auspol #NPC"
2022-02-01 08:27:30+00:00	Twitter Web App	{'mentions': [{'start': 0, 'end': 14, 'username': 'Trudy72842064', 'id': '1368096788008210433'}]}	1488428785439367169	{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}	896166389332848640	@Trudy72842064 A privilege he exercises at will - a privilege he regularly abuses for political ends - a privilege not afforded to ordinary Australians
2022-02-01 08:29:51+00:00	Twitter Web App	{'mentions': [{'start': 0, 'end': 11, 'username': 'bigchefjay', 'id': '1469648886'}, {'start': 12, 'end': 25, 'username': 'BethanyinCBR', 'id': '1060338999611420672'}]}	1488429376173604864	{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}	896166389332848640	@bigchefjay @BethanyinCBR Trying to retrieve his pathetic reputation
2022-02-01 08:33:25+00:00	Twitter Web App	{'urls': [{'start': 19, 'end': 42, 'url': 'https://t.co/XPjHHb85zr', 'expanded_url': 'https://twitter.com/slpng_giants_oz/status/1488430273432010753/photo/1', 'display_url': 'pic.twitter.com/XPjHHb85zr'}], 'mentions': [{'start': 0, 'end': 9, 'username': 'terra155', 'id': '44337500'}, {'start': 10, 'end': 18, 'username': 'nobby15', 'id': '51378153'}]}	1488430273432010753	{'retweet_count': 10, 'reply_count': 3, 'like_count': 16, 'quote_count': 0}	896166389332848640	@terra155 @nobby15 https://t.co/XPjHHb85zr
2022-02-01 08:54:16+00:00	Twitter Web App	{'annotations': [{'start': 65, 'end': 83, 'probability': 0.6232, 'type': 'Organization', 'normalized_text': 'Bushfire Volunteers'}, {'start': 91, 'end': 104, 'probability': 0.994, 'type': 'Person', 'normalized_text': 'Scott Morrison'}], 'mentions': [{'start': 0, 'end': 8, 'username': 'nobby15', 'id': '51378153'}, {'start': 9, 'end': 18, 'username': 'terra155', 'id': '44337500'}]}	1488435520317235201	{'retweet_count': 3, 'reply_count': 1, 'like_count': 9, 'quote_count': 0}	896166389332848640	@nobby15 @terra155 In this photo he is shopping for supplies for Bushfire Volunteers while Scott Morrison was sunning himself at a Hawaiian resort
2022-02-02 03:15:17+00:00	Twitter Web App	{'annotations': [{'start': 69, 'end': 79, 'probability': 0.5973, 'type': 'Other', 'normalized_text': 'News Corpse'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'SuxHypocrisy', 'id': '1212560564225900544'}]}	1488712602037661698	{'retweet_count': 37, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	896166389332848640	"RT @SuxHypocrisy: Credit where credit is due.
The fantasy writers at News Corpse have a remarkable ability to not just avoid facts, but inv…"
2022-02-02 03:21:23+00:00	Twitter Web App	{'annotations': [{'start': 40, 'end': 54, 'probability': 0.7804, 'type': 'Organization', 'normalized_text': 'COVID Committee'}, {'start': 83, 'end': 101, 'probability': 0.6031, 'type': 'Organization', 'normalized_text': 'Morrison Government'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'nobby15', 'id': '51378153'}, {'start': 13, 'end': 29, 'username': 'slpng_giants_oz', 'id': '896166389332848640'}]}	1488714136867721216	{'retweet_count': 24, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	896166389332848640	RT @nobby15: @slpng_giants_oz Today the COVID Committee will finally hear from the Morrison Government about why everything went so wrong o…
2022-02-02 12:13:15+00:00	Twitter Web App	"{'urls': [{'start': 100, 'end': 123, 'url': 'https://t.co/zASLRzP7Pc', 'expanded_url': 'https://www.pedestrian.tv/news/peter-van-onselen-tegan-george-network-10-bullying-allegations/amp/', 'display_url': 'pedestrian.tv/news/peter-van…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1491180629148708866/UmoJ8sow?format=jpg&name=orig', 'width': 1200, 'height': 675}, {'url': 'https://pbs.twimg.com/news_img/1491180629148708866/UmoJ8sow?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Peter Van Onselen Allegedly Humiliated An Ex-Coworker, According To Claims Made In Reports', 'description': ""10's political editor\xa0Peter van Onselen has been accused of undermining and humiliating his colleague\xa0Tegan George according to a claim against the network filed in federal court."", 'unwound_url': 'https://www.pedestrian.tv/news/peter-van-onselen-tegan-george-network-10-bullying-allegations/amp/'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'Sassythepatty', 'id': '1291261905609191424'}, {'start': 19, 'end': 28, 'username': 'Ro_Smith', 'id': '28213817'}]}"	1488847983634710536	{'retweet_count': 42, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	896166389332848640	"RT @Sassythepatty: @Ro_Smith PVO is out for PVO and PVO only. 

This is all a distraction from this https://t.co/zASLRzP7Pc"
2022-02-02 12:29:29+00:00	Twitter Web App	{'hashtags': [{'start': 80, 'end': 87, 'tag': 'auspol'}, {'start': 88, 'end': 111, 'tag': 'HorribleHorriblePerson'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'bigchefjay', 'id': '1469648886'}, {'start': 112, 'end': 128, 'username': 'slpng_giants_oz', 'id': '896166389332848640'}]}	1488852070493204483	{'retweet_count': 38, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	896166389332848640	"RT @bigchefjay: ""The big con is that we have 4% unemployment"".
Rev. Bill Crews

#auspol #HorribleHorriblePerson @slpng_giants_oz @Bethanyin…"
2022-02-02 23:51:19+00:00	Twitter Web App	{'annotations': [{'start': 57, 'end': 65, 'probability': 0.8629, 'type': 'Organization', 'normalized_text': 'Breitbart'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'Aushiker', 'id': '15322814'}, {'start': 21, 'end': 33, 'username': 'TheManShake', 'id': '2415399678'}]}	1489023659394347008	{'retweet_count': 8, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	896166389332848640	RT @Aushiker: Hello, @TheManShake you are advertising on Breitbart, an extreme right-wing biased website, home of conspiracy theories, prop…
