created_at	entities	source	public_metrics	id	text	author_id
2022-01-03 17:46:37+00:00	{'mentions': [{'start': 3, 'end': 14, 'username': 'nandoodles', 'id': '971454026'}, {'start': 45, 'end': 58, 'username': 'CheckMyAdsHQ', 'id': '1451713500439588864'}]}	Twitter for Android	{'retweet_count': 18, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1478060242697076739	"RT @nandoodles: The devil works hard but the @CheckMyAdsHQ team works harder. 

We’re launching something big this week. If you haven’t alr…"	754604381048344576
2022-01-04 10:19:56+00:00	{'mentions': [{'start': 3, 'end': 19, 'username': 'StopFundingHate', 'id': '754604381048344576'}, {'start': 26, 'end': 39, 'username': 'slpng_giants', 'id': '799047255378391040'}]}	Twitter Web App	{'retweet_count': 44, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1478310218119495681	RT @StopFundingHate: What @Slpng_Giants have achieved over the past five years - without a formal structure and through a campaign run enti…	754604381048344576
2022-01-04 10:38:27+00:00	{'mentions': [{'start': 3, 'end': 13, 'username': 'Moonalice', 'id': '6585222'}, {'start': 38, 'end': 51, 'username': 'slpng_giants', 'id': '799047255378391040'}]}	Twitter Web App	{'retweet_count': 33, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1478314878184177666	RT @Moonalice: Things are changing at @slpng_giants. After five years of making the web safer — and more wins than any other activist group…	754604381048344576
2022-01-04 10:38:41+00:00	{'mentions': [{'start': 3, 'end': 16, 'username': 'slpng_giants', 'id': '799047255378391040'}]}	Twitter Web App	{'retweet_count': 51, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1478314937726427137	RT @slpng_giants: PS - If you want to be a part of the next chapter of SG and are ready to tangle with some truly powerful corporations and…	754604381048344576
2022-01-05 07:23:59+00:00	{'mentions': [{'start': 3, 'end': 12, 'username': 'mimmymum', 'id': '33031294'}], 'annotations': [{'start': 14, 'end': 20, 'probability': 0.87, 'type': 'Organization', 'normalized_text': 'GB News'}]}	Twitter for Android	{'retweet_count': 94, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1478628327829168129	"RT @mimmymum: GB News have obviously decided that they can get lots of clicks on their posts by featuring the “trans debate”.

Every time y…"	754604381048344576
2022-01-06 12:02:41+00:00	{'urls': [{'start': 244, 'end': 267, 'url': 'https://t.co/IJ4bbNuRr7', 'expanded_url': 'https://www.ethicalconsumer.org/technology/campaigners-urge-advertisers-not-fund-fox-news-style-channels-britain', 'display_url': 'ethicalconsumer.org/technology/cam…'}], 'annotations': [{'start': 21, 'end': 36, 'probability': 0.6409, 'type': 'Organization', 'normalized_text': 'British Fox News'}, {'start': 113, 'end': 122, 'probability': 0.7163, 'type': 'Place', 'normalized_text': 'US Capitol'}]}	Twitter Web App	{'retweet_count': 8, 'reply_count': 1, 'like_count': 23, 'quote_count': 0}	1479060853899112449	“Are you ready for a British Fox News?”, asked the Evening Standard, twelve days after a violent mob stormed the US Capitol, in an attack widely believed to have been spurred on by conspiracy theories broadcast via the Murdoch-owned channel... https://t.co/IJ4bbNuRr7	754604381048344576
2022-01-06 20:43:55+00:00	{'mentions': [{'start': 40, 'end': 46, 'username': 'SkyUK', 'id': '20139563'}, {'start': 47, 'end': 61, 'username': 'MoneySupermkt', 'id': '15232850'}, {'start': 62, 'end': 78, 'username': 'GinTing_RumTing', 'id': '936598886109667328'}, {'start': 79, 'end': 94, 'username': 'Ragingbullbilt', 'id': '958749298916839424'}, {'start': 95, 'end': 110, 'username': 'thegoldbullion', 'id': '57283076'}, {'start': 111, 'end': 124, 'username': 'Goldreserves', 'id': '239824879'}, {'start': 125, 'end': 139, 'username': 'Dyfed_Telecom', 'id': '1116799090552078336'}, {'start': 164, 'end': 175, 'username': 'opengoaaal', 'id': '2317430131'}, {'start': 189, 'end': 202, 'username': 'HomestoreInt', 'id': '1527272017'}, {'start': 203, 'end': 215, 'username': 'SharkHomeUK', 'id': '1931184878'}, {'start': 216, 'end': 232, 'username': 'SmileCarFinance', 'id': '974294502016987136'}, {'start': 237, 'end': 247, 'username': 'RoyalNavy', 'id': '343961846'}, {'start': 258, 'end': 270, 'username': 'BritishArmy', 'id': '22046686'}], 'urls': [{'start': 140, 'end': 163, 'url': 'https://t.co/LWmLDLwpDT', 'expanded_url': 'http://ThePalaces.com', 'display_url': 'ThePalaces.com'}, {'start': 271, 'end': 294, 'url': 'https://t.co/ewwffhKFOQ', 'expanded_url': 'https://twitter.com/StopFundingHate/status/1479192023026610179/photo/1', 'display_url': 'pic.twitter.com/ewwffhKFOQ'}], 'hashtags': [{'start': 176, 'end': 188, 'tag': 'BecoCleanse'}], 'annotations': [{'start': 12, 'end': 18, 'probability': 0.4011, 'type': 'Organization', 'normalized_text': 'GB News'}]}	Twitter Web App	{'retweet_count': 109, 'reply_count': 14, 'like_count': 200, 'quote_count': 14}	1479192023026610179	This week's GB News advertisers include @SkyUK @MoneySupermkt @GinTing_RumTing @RagingBullBilt @TheGoldBullion @GoldReserves @Dyfed_Telecom https://t.co/LWmLDLwpDT @opengoaaal #BecoCleanse @HomeStoreInt @SharkHomeUK @SmileCarFinance the @RoyalNavy &amp; the @BritishArmy https://t.co/ewwffhKFOQ	754604381048344576
2022-01-06 20:50:04+00:00	{'mentions': [{'start': 3, 'end': 18, 'username': 'childish_billy', 'id': '893048024'}, {'start': 52, 'end': 64, 'username': 'SharkHomeUK', 'id': '1931184878'}], 'hashtags': [{'start': 98, 'end': 114, 'tag': 'stopfundinghate'}]}	Twitter Web App	{'retweet_count': 9, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1479193574893834244	"RT @childish_billy: Cheers was going to invest in a @SharkHomeUK vacuum cleaner . 
No chance now.
#stopfundinghate"	754604381048344576
2022-01-07 08:29:25+00:00	{'urls': [{'start': 73, 'end': 96, 'url': 'https://t.co/I3TemFzbhJ', 'expanded_url': 'https://www.theguardian.com/media/2022/jan/07/gb-news-accused-of-prejudicing-colston-four-trial?CMP=Share_iOSApp_Other', 'display_url': 'theguardian.com/media/2022/jan…'}], 'annotations': [{'start': 0, 'end': 6, 'probability': 0.7946, 'type': 'Organization', 'normalized_text': 'GB News'}, {'start': 25, 'end': 31, 'probability': 0.7568, 'type': 'Place', 'normalized_text': 'Bristol'}]}	Twitter Web App	{'retweet_count': 60, 'reply_count': 3, 'like_count': 116, 'quote_count': 2}	1479369571752685568	"GB News was ""summoned to Bristol crown court halfway through the trial"": https://t.co/I3TemFzbhJ"	754604381048344576
2022-01-07 09:07:32+00:00	{'mentions': [{'start': 3, 'end': 12, 'username': 'guardian', 'id': '87818409'}], 'urls': [{'start': 64, 'end': 87, 'url': 'https://t.co/QAuIzjmZ0s', 'expanded_url': 'https://www.theguardian.com/media/2022/jan/07/gb-news-accused-of-prejudicing-colston-four-trial?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1641536040', 'display_url': 'theguardian.com/media/2022/jan…'}], 'annotations': [{'start': 14, 'end': 20, 'probability': 0.8647, 'type': 'Organization', 'normalized_text': 'GB News'}]}	Twitter Web App	{'retweet_count': 25, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1479379162616016897	RT @guardian: GB News accused of prejudicing Colston Four trial https://t.co/QAuIzjmZ0s	754604381048344576
