created_at	source	id	public_metrics	entities	author_id	text
2022-01-06 05:31:06+00:00	Twitter Web App	1478962306323202050	{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	{'annotations': [{'start': 50, 'end': 58, 'probability': 0.8549, 'type': 'Organization', 'normalized_text': 'Breitbart'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'Aushiker', 'id': '15322814'}, {'start': 15, 'end': 26, 'username': 'McGrathFdn', 'id': '32311602'}]}	1023382266209161216	RT @Aushiker: .@McGrathFdn you are advertising on Breitbart, an extreme right-wing biased website, home of conspiracy theories, propaganda…
2022-01-06 06:10:00+00:00	Twitter Web App	1478972096055185409	{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	{'urls': [{'start': 220, 'end': 243, 'url': 'https://t.co/sq5dXJUZgm', 'expanded_url': 'https://twitter.com/Aushiker/status/1478972096055185409/photo/1', 'display_url': 'pic.twitter.com/sq5dXJUZgm'}], 'mentions': [{'start': 1, 'end': 15, 'username': 'BerkeyFilters', 'id': '351200945'}, {'start': 175, 'end': 191, 'username': 'slpng_giants_oz', 'id': '896166389332848640'}, {'start': 192, 'end': 208, 'username': 'StopFundingHate', 'id': '754604381048344576'}, {'start': 209, 'end': 219, 'username': 'SFMisinfo', 'id': '1094902255898251265'}]}	15322814	.@BerkeyFilters you are advertising on Waking Times, a website that has a strong conspiracy and quackery level pseudoscience focus. Is this okay really what you are about? Cc @Slpng_giants_oz @stopfundinghate @SFMisinfo https://t.co/sq5dXJUZgm
2022-01-06 06:23:25+00:00	Twitter for Android	1478975473266794496	{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	{'mentions': [{'start': 3, 'end': 12, 'username': 'Aushiker', 'id': '15322814'}, {'start': 15, 'end': 29, 'username': 'BerkeyFilters', 'id': '351200945'}]}	1081336062	RT @Aushiker: .@BerkeyFilters you are advertising on Waking Times, a website that has a strong conspiracy and quackery level pseudoscience…
2022-01-06 08:15:00+00:00	Twitter Web App	1479003552789975045	{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}	{'annotations': [{'start': 65, 'end': 74, 'probability': 0.9947, 'type': 'Person', 'normalized_text': 'Alan Jones'}, {'start': 78, 'end': 84, 'probability': 0.4881, 'type': 'Product', 'normalized_text': 'YouTube'}], 'hashtags': [{'start': 204, 'end': 211, 'tag': 'Auspol'}], 'urls': [{'start': 261, 'end': 284, 'url': 'https://t.co/HLkICWLtnT', 'expanded_url': 'https://twitter.com/Aushiker/status/1479003552789975045/photo/1', 'display_url': 'pic.twitter.com/HLkICWLtnT'}], 'mentions': [{'start': 1, 'end': 16, 'username': 'linearresearch', 'id': '242851369'}, {'start': 215, 'end': 231, 'username': 'slpng_giants_oz', 'id': '896166389332848640'}, {'start': 232, 'end': 248, 'username': 'StopFundingHate', 'id': '754604381048344576'}, {'start': 249, 'end': 259, 'username': 'SFMisinfo', 'id': '1094902255898251265'}]}	15322814	.@linearresearch I suggest it is time to rethink your support of Alan Jones's YouTube channel. This is saying a lot about your views of women. Is misogyny really something you want to be associated with? #Auspol cc @slpng_giants_oz @Stopfundinghate @SFMisinfo. https://t.co/HLkICWLtnT
2022-01-06 13:52:20+00:00	Twitter for iPhone	1479088448619302922	{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	{'annotations': [{'start': 79, 'end': 88, 'probability': 0.9944, 'type': 'Person', 'normalized_text': 'Alan Jones'}, {'start': 92, 'end': 98, 'probability': 0.5154, 'type': 'Product', 'normalized_text': 'YouTube'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'Aushiker', 'id': '15322814'}, {'start': 15, 'end': 30, 'username': 'linearresearch', 'id': '242851369'}]}	2591812278	RT @Aushiker: .@linearresearch I suggest it is time to rethink your support of Alan Jones's YouTube channel. This is saying a lot about you…
2022-01-06 13:53:37+00:00	Twitter for iPhone	1479088769919852556	{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	{'mentions': [{'start': 3, 'end': 12, 'username': 'Aushiker', 'id': '15322814'}, {'start': 15, 'end': 29, 'username': 'BerkeyFilters', 'id': '351200945'}]}	2591812278	RT @Aushiker: .@BerkeyFilters you are advertising on Waking Times, a website that has a strong conspiracy and quackery level pseudoscience…
2022-01-06 20:23:13+00:00	Twitter for iPhone	1479186816108568577	{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	{'mentions': [{'start': 3, 'end': 12, 'username': 'Aushiker', 'id': '15322814'}, {'start': 21, 'end': 27, 'username': 'Sonos', 'id': '16727022'}]}	2591812278	RT @Aushiker: Hello, @sonos your advertising is appearing on Spiked, a known anti-vax/climate science denial/misogynist website and source…
2022-01-07 11:14:32+00:00	Twitter for iPhone	1479411123505881088	{'retweet_count': 12, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	{'annotations': [{'start': 62, 'end': 70, 'probability': 0.8301, 'type': 'Organization', 'normalized_text': 'Breitbart'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'Aushiker', 'id': '15322814'}, {'start': 19, 'end': 28, 'username': 'NordPass', 'id': '1128186338950426624'}]}	1316308520174678016	RT @Aushiker: Dear @NordPass your advertising is appearing on Breitbart, a well-known anti-vax/climate science denial website and source of…
2022-01-07 19:43:40+00:00	Twitter Web App	1479539248973893639	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	{'urls': [{'start': 57, 'end': 80, 'url': 'https://t.co/XPjyQHIrVD', 'expanded_url': 'https://twitter.com/PreetToken/status/1477295240469893121', 'display_url': 'twitter.com/PreetToken/sta…'}], 'mentions': [{'start': 9, 'end': 17, 'username': 'dfds_uk', 'id': '22011238'}, {'start': 19, 'end': 23, 'username': 'WWE', 'id': '7517222'}, {'start': 25, 'end': 35, 'username': 'SFMisinfo', 'id': '1094902255898251265'}, {'start': 36, 'end': 47, 'username': 'SGanguly99', 'id': '2708915372'}, {'start': 48, 'end': 56, 'username': 'yourbae', 'id': '979237506343346177'}]}	1468886124215033858	Good job @dfds_uk  @WWE  @SFMisinfo @SGanguly99 @yourbae https://t.co/XPjyQHIrVD
2022-01-10 12:10:37+00:00	Twitter Web App	1480512401921527810	{'retweet_count': 7, 'reply_count': 0, 'like_count': 11, 'quote_count': 2}	{'annotations': [{'start': 40, 'end': 46, 'probability': 0.6098, 'type': 'Organization', 'normalized_text': 'YouTube'}, {'start': 59, 'end': 72, 'probability': 0.6907, 'type': 'Organization', 'normalized_text': 'Breitbart News'}], 'urls': [{'start': 205, 'end': 228, 'url': 'https://t.co/k5I4lvlTz7', 'expanded_url': 'https://twitter.com/Slarothestoic/status/1480512401921527810/photo/1', 'display_url': 'pic.twitter.com/k5I4lvlTz7'}, {'start': 205, 'end': 228, 'url': 'https://t.co/k5I4lvlTz7', 'expanded_url': 'https://twitter.com/Slarothestoic/status/1480512401921527810/photo/1', 'display_url': 'pic.twitter.com/k5I4lvlTz7'}, {'start': 205, 'end': 228, 'url': 'https://t.co/k5I4lvlTz7', 'expanded_url': 'https://twitter.com/Slarothestoic/status/1480512401921527810/photo/1', 'display_url': 'pic.twitter.com/k5I4lvlTz7'}, {'start': 205, 'end': 228, 'url': 'https://t.co/k5I4lvlTz7', 'expanded_url': 'https://twitter.com/Slarothestoic/status/1480512401921527810/photo/1', 'display_url': 'pic.twitter.com/k5I4lvlTz7'}], 'mentions': [{'start': 7, 'end': 21, 'username': 'LibertyMutual', 'id': '1707305418'}, {'start': 194, 'end': 204, 'username': 'SFMisinfo', 'id': '1094902255898251265'}]}	824297487737520128	Hello, @LibertyMutual Your ad is on the YouTube channel of Breitbart News, a site that consistently undermines public trust in proven climate science. Can you please fix your ad buy? Thank you. @SFMisinfo https://t.co/k5I4lvlTz7
2022-01-10 12:39:44+00:00	Twitter for iPhone	1480519728963723271	{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	{'annotations': [{'start': 59, 'end': 65, 'probability': 0.6132, 'type': 'Organization', 'normalized_text': 'YouTube'}, {'start': 78, 'end': 91, 'probability': 0.7077, 'type': 'Organization', 'normalized_text': 'Breitbart News'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'Slarothestoic', 'id': '824297487737520128'}, {'start': 26, 'end': 40, 'username': 'LibertyMutual', 'id': '1707305418'}]}	811262824034877440	RT @Slarothestoic: Hello, @LibertyMutual Your ad is on the YouTube channel of Breitbart News, a site that consistently undermines public tr…
2022-01-10 14:09:20+00:00	Twitter for iPhone	1480542274895286274	{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	{'annotations': [{'start': 59, 'end': 65, 'probability': 0.6132, 'type': 'Organization', 'normalized_text': 'YouTube'}, {'start': 78, 'end': 91, 'probability': 0.7077, 'type': 'Organization', 'normalized_text': 'Breitbart News'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'Slarothestoic', 'id': '824297487737520128'}, {'start': 26, 'end': 40, 'username': 'LibertyMutual', 'id': '1707305418'}]}	810689153260224513	RT @Slarothestoic: Hello, @LibertyMutual Your ad is on the YouTube channel of Breitbart News, a site that consistently undermines public tr…
2022-01-10 15:12:02+00:00	Twitter Web App	1480558056312295436	{'retweet_count': 26, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	{'annotations': [{'start': 15, 'end': 20, 'probability': 0.8573, 'type': 'Organization', 'normalized_text': 'Google'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'SFMisinfo', 'id': '1094902255898251265'}]}	1094902255898251265	"RT @SFMisinfo: Google is one of the biggest funders of misinformation and hate in the world. 

Here's how Stop Funding Misinformation is fo…"
2022-01-10 15:55:47+00:00	Twitter for iPhone	1480569066968563718	{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	{'annotations': [{'start': 59, 'end': 65, 'probability': 0.6132, 'type': 'Organization', 'normalized_text': 'YouTube'}, {'start': 78, 'end': 91, 'probability': 0.7077, 'type': 'Organization', 'normalized_text': 'Breitbart News'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'Slarothestoic', 'id': '824297487737520128'}, {'start': 26, 'end': 40, 'username': 'LibertyMutual', 'id': '1707305418'}]}	560817896	RT @Slarothestoic: Hello, @LibertyMutual Your ad is on the YouTube channel of Breitbart News, a site that consistently undermines public tr…
2022-01-10 16:17:16+00:00	Twitter Web App	1480574472214220803	{'retweet_count': 26, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	{'annotations': [{'start': 15, 'end': 20, 'probability': 0.8573, 'type': 'Organization', 'normalized_text': 'Google'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'SFMisinfo', 'id': '1094902255898251265'}]}	136763394	"RT @SFMisinfo: Google is one of the biggest funders of misinformation and hate in the world. 

Here's how Stop Funding Misinformation is fo…"
2022-01-10 21:53:00+00:00	Twitter Web App	1480658960856150018	{'retweet_count': 1, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}	{'annotations': [{'start': 47, 'end': 64, 'probability': 0.5831, 'type': 'Organization', 'normalized_text': 'Sky News Australia'}], 'urls': [{'start': 257, 'end': 280, 'url': 'https://t.co/YU0TYwz2iv', 'expanded_url': 'https://twitter.com/Aushiker/status/1480658960856150018/photo/1', 'display_url': 'pic.twitter.com/YU0TYwz2iv'}], 'mentions': [{'start': 7, 'end': 18, 'username': 'rebelsport', 'id': '25206561'}, {'start': 212, 'end': 228, 'username': 'slpng_giants_oz', 'id': '896166389332848640'}, {'start': 229, 'end': 245, 'username': 'StopFundingHate', 'id': '754604381048344576'}, {'start': 246, 'end': 256, 'username': 'SFMisinfo', 'id': '1094902255898251265'}]}	15322814	Hello, @rebelsport your adverts are showing on Sky News Australia after dark opinion pages. Is the funding of climate science denialism, racism, &amp; COVID-19 scepticism what you are about? Please do better. cc @slpng_giants_oz @StopFundingHate @SFMisinfo https://t.co/YU0TYwz2iv
2022-01-10 22:10:54+00:00	Twitter Web App	1480663464775340032	{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	{'annotations': [{'start': 61, 'end': 78, 'probability': 0.6159, 'type': 'Organization', 'normalized_text': 'Sky News Australia'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'Aushiker', 'id': '15322814'}, {'start': 21, 'end': 32, 'username': 'rebelsport', 'id': '25206561'}]}	1312978399925727233	RT @Aushiker: Hello, @rebelsport your adverts are showing on Sky News Australia after dark opinion pages. Is the funding of climate science…
2022-01-11 11:53:42+00:00	Twitter Web App	1480870532849491969	{'retweet_count': 10, 'reply_count': 2, 'like_count': 19, 'quote_count': 1}	{'annotations': [{'start': 35, 'end': 41, 'probability': 0.6098, 'type': 'Organization', 'normalized_text': 'YouTube'}, {'start': 54, 'end': 67, 'probability': 0.6907, 'type': 'Organization', 'normalized_text': 'Breitbart News'}], 'urls': [{'start': 200, 'end': 223, 'url': 'https://t.co/og6uGsVsYh', 'expanded_url': 'https://twitter.com/Slarothestoic/status/1480870532849491969/photo/1', 'display_url': 'pic.twitter.com/og6uGsVsYh'}, {'start': 200, 'end': 223, 'url': 'https://t.co/og6uGsVsYh', 'expanded_url': 'https://twitter.com/Slarothestoic/status/1480870532849491969/photo/1', 'display_url': 'pic.twitter.com/og6uGsVsYh'}, {'start': 200, 'end': 223, 'url': 'https://t.co/og6uGsVsYh', 'expanded_url': 'https://twitter.com/Slarothestoic/status/1480870532849491969/photo/1', 'display_url': 'pic.twitter.com/og6uGsVsYh'}, {'start': 200, 'end': 223, 'url': 'https://t.co/og6uGsVsYh', 'expanded_url': 'https://twitter.com/Slarothestoic/status/1480870532849491969/photo/1', 'display_url': 'pic.twitter.com/og6uGsVsYh'}], 'mentions': [{'start': 7, 'end': 16, 'username': 'bamboohr', 'id': '18221343'}, {'start': 189, 'end': 199, 'username': 'SFMisinfo', 'id': '1094902255898251265'}]}	824297487737520128	Hello, @bamboohr Your ad is on the YouTube channel of Breitbart News, a site that consistently undermines public trust in proven climate science. Can you please fix your ad buy? Thank you. @SFMisinfo https://t.co/og6uGsVsYh
2022-01-11 11:55:12+00:00	Twitter Web App	1480870908361383937	{'retweet_count': 10, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	{'annotations': [{'start': 54, 'end': 60, 'probability': 0.6063, 'type': 'Organization', 'normalized_text': 'YouTube'}, {'start': 73, 'end': 86, 'probability': 0.7209, 'type': 'Organization', 'normalized_text': 'Breitbart News'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'Slarothestoic', 'id': '824297487737520128'}, {'start': 26, 'end': 35, 'username': 'bamboohr', 'id': '18221343'}]}	1094902255898251265	RT @Slarothestoic: Hello, @bamboohr Your ad is on the YouTube channel of Breitbart News, a site that consistently undermines public trust i…
2022-01-11 12:27:38+00:00	Twitter Web App	1480879069264850950	{'retweet_count': 10, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	{'annotations': [{'start': 54, 'end': 60, 'probability': 0.6063, 'type': 'Organization', 'normalized_text': 'YouTube'}, {'start': 73, 'end': 86, 'probability': 0.7209, 'type': 'Organization', 'normalized_text': 'Breitbart News'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'Slarothestoic', 'id': '824297487737520128'}, {'start': 26, 'end': 35, 'username': 'bamboohr', 'id': '18221343'}]}	1074247482442481664	RT @Slarothestoic: Hello, @bamboohr Your ad is on the YouTube channel of Breitbart News, a site that consistently undermines public trust i…
